transaction_id,account_id,amount,currency,transaction_date,status,description
TXN001,ACC001,1250.00,USD,2026-08-31,PENDING,Payment to vendor ABC
TXN002,ACC002,750.50,EUR,2026-08-31,PENDING,Invoice settlement INV-2345
TXN003,ACC003,3200.00,GBP,2026-08-31,PENDING,Salary disbursement
TXN004,ACC004,890.75,USD,2026-08-31,PENDING,Supplier payment
TXN005,ACC005,5000.00,USD,2026-08-31,PENDING,Monthly retainer
TXN006,ACC006,200.00,EUR,2026-08-31,PENDING,Office supplies
TXN007,ACC007,12500.00,USD,2026-08-31,PENDING,Software license renewal
TXN008,ACC008,430.25,GBP,2026-08-31,PENDING,Travel reimbursement
TXN009,ACC009,1800.00,USD,2026-08-31,PENDING,Consultant fee
TXN010,ACC010,670.00,EUR,2026-08-31,PENDING,Marketing services
TXN011,ACC011,3450.00,USD,2026-08-31,PENDING,Infrastructure hosting
TXN012,ACC012,150.00,USD,2026-08-31,PENDING,Postage and courier
TXN013,ACC013,9800.00,GBP,2026-08-31,PENDING,Equipment lease
TXN014,ACC014,2300.00,EUR,2026-08-31,PENDING,Training programme
TXN015,ACC015,560.00,USD,2026-08-31,PENDING,Maintenance contract
TXN016,ACC016,7200.00,USD,2026-08-31,PENDING,Data centre colocation
TXN017,ACC017,310.50,EUR,2026-08-31,PENDING,Catering services
TXN018,ACC018,4100.00,GBP,2026-08-31,PENDING,Legal advisory
TXN019,ACC019,980.00,USD,2026-08-31,PENDING,Utility bills
TXN020,ACC020,1540.00,EUR,2026-08-31,PENDING,Insurance premium
